id,unit_id,status,ownership_type,date_acquired,purchase_amount,monthly_payment,payment_start_date,payment_end_date,lender,make,model,year,purchase_odometer,purchase_odometer_update,odometer,odometer_update,fair_market_value,fair_market_value_date,down_payment,interest_rate,balloon_payment
1200,Truck 0622,INACTIVE,Owner Operator Owned,07/15/2024,0,0,07/15/2024,,BLK TRUX INC,Freightliner,CASCADIA,2019,,,,,,,,0,
1226,Truck 0295,INACTIVE,Owner Operator Owned,07/02/2024,0,0,07/02/2024,,GALLANS TRANSPORT LLC,Freightliner,TT,2019,,,,,,,,0,
1233,Truck 0422,INACTIVE,Owner Operator Owned,02/27/2024,0,0,02/27/2024,,FSB Trucking LLC,Freightliner,TT,2014,,,,,,,,0,
1268,Truck 0297,INACTIVE,Owner Operator Owned,04/17/2024,0,0,04/17/2024,,Zoe Services Inc,Freightliner,TR,2023,,,,,,,,0,
1272,Truck 0092,INACTIVE,Owner Operator Owned,08/12/2024,0,0,08/12/2024,,,Freightliner,TT,2019,,,,,,,,0,
1299,Truck 0692,INACTIVE,Owner Operator Owned,04/17/2024,0,0,04/17/2024,,Lendee Trucking LLC,Freightliner,TT,2019,,,,,,,,0,
1330,Truck 0517,ACTIVE,Owner Operator Owned,04/01/2024,0,0,04/01/2024,,DPS Logistics LLC,Freightliner,TR,2016,,,851015,5-8-2025 16:19:22,,,,0,
1372,Truck 0084,INACTIVE,Owner Operator Owned,05/13/2024,0,0,05/13/2024,,At trans llc,Freightliner,CASCADIA,2019,,,,,,,,0,
1373,Truck 0139,INACTIVE,Owner Operator Owned,05/20/2024,0,0,05/20/2024,,Thrill Express Inc,Freightliner,TT,2017,,,,,,,,0,
1374,SPOT-Truck 0291,ACTIVE,Operating lease,2024-01-01,163422,4333.15,2024-04-01,2029-10-01,Ryder Truck Rental,Freightliner,Cascadia,2024,73486,,261380,5-12-2025 9:25:52,0,,0,0,0
